t,vx,vy
3.4,0.23209224181229166,0.11879696625929677
3.4,0.23209224181229166,0.11879696625929677
3.5,0.23520145979346802,0.11537943446939851
3.5,0.23520145979346802,0.11537943446939851
3.6,0.23802258539762894,0.11188979428871959
3.6,0.23802258539762894,0.11188979428871959
3.7,0.24055216309868255,0.10833022662878025
3.7,0.24055216309868255,0.10833022662878025
3.8,0.24278709448026115,0.10470295610349901
3.8,0.24278709448026115,0.10470295610349901
3.9,0.24472464203089364,0.10101024963888144
3.9,0.24472464203089364,0.10101024963888144
4.0,0.24636243249711504,0.09725441505626516
4.0,0.24636243249711504,0.09725441505626516
4.1,0.24769845979040495,0.09343779963000652
4.1,0.24769845979040495,0.09343779963000652
4.2,0.24873108744439523,0.08956278862051086
4.2,0.24873108744439523,0.08956278862051086
4.3,0.24945905061933674,0.08563180378352195
4.3,0.24945905061933674,0.08563180378352195
4.4,0.24988145765136976,0.08164730185660392
4.4,0.24988145765136976,0.08164730185660392
4.5,0.24999779114470078,0.07761177302375992
4.5,0.24999779114470078,0.07761177302375992
4.6,0.24980790860534763,0.07352773935914829
4.6,0.24980790860534763,0.07352773935914829
4.7,0.24931204261567677,0.06939775325086847
4.7,0.24931204261567677,0.06939775325086847
4.8,0.248510800549519,0.06522439580580121
4.8,0.248510800549519,0.06522439580580121
4.9,0.24740516382821245,0.0610102752365011
4.9,0.24740516382821245,0.0610102752365011
5.0,0.24599648671848423,0.05675802523114836
5.0,0.24599648671848423,0.05675802523114836
5.1,0.2442864946736429,0.05247030330757959
5.1,0.2442864946736429,0.05247030330757959
5.2,0.2422772822201141,0.04814978915242572
5.2,0.2422772822201141,0.04814978915242572
5.3,0.2399713103919074,0.04379918294639485
5.3,0.2399713103919074,0.04379918294639485
5.4,0.23737140371615761,0.039421203676747466
5.4,0.23737140371615761,0.039421203676747466
5.5,0.23448074675343203,0.03501858743801769
5.5,0.23448074675343203,0.03501858743801769
5.6,0.23130288019704207,0.030594085722043345
5.6,0.23130288019704207,0.030594085722043345
5.7,0.2278416965361367,0.02615046369837324
5.7,0.2278416965361367,0.02615046369837324
5.8,0.22410143528788995,0.02169049848612595
5.8,0.22410143528788995,0.02169049848612595
5.9,0.22008667780462265,0.017216977418381078
5.9,0.22008667780462265,0.017216977418381078
6.0,0.21580234166221848,0.012732696300186523
6.0,0.21580234166221848,0.012732696300186523
6.1,0.21125367463670847,0.00824045766127147
6.1,0.21125367463670847,0.00824045766127147
6.2,0.206446248276402,0.0037430690045566367
6.2,0.206446248276402,0.0037430690045566367
6.3,0.2013859510774362,-0.0007566589484439274
6.3,0.2013859510774362,-0.0007566589484439274
6.4,0.19607898127110504,-0.005255914014231987
6.4,0.19607898127110504,-0.005255914014231987
6.5,0.1905318392318006,-0.009751884304848538
6.5,0.1905318392318006,-0.009751884304848538
6.6,0.1847513195148677,-0.014241759985212134
6.6,0.1847513195148677,-0.014241759985212134
6.7,0.17874450253412325,-0.018722735029174233
6.7,0.17874450253412325,-0.018722735029174233
6.8,0.1725187458892341,-0.023192008973194473
6.8,0.1725187458892341,-0.023192008973194473
6.9,0.16608167535357835,-0.02764678866653891
6.9,0.16608167535357835,-0.02764678866653891
7.0,0.159441175533626,-0.03208429001690857
7.0,0.159441175533626,-0.03208429001690857
7.1,0.1526053802112819,-0.03650173973040644
7.1,0.1526053802112819,-0.03650173973040644
7.2,0.14558266238102047,-0.040896377044755676
7.2,0.14558266238102047,-0.040896377044755676
7.3,0.13838162399401416,-0.04526545545468652
7.3,0.13838162399401416,-0.04526545545468652
7.4,0.13101108542181902,-0.04960624442841233
