t,x,y,yaw,u,w
30.151,0.24634677614377637,3.3897900063805095,-1.7323243005297766,0.262381461577248,0.0773210692651584
30.201,0.24464768378276378,3.3769416918671356,-1.7285865610331452,0.28315034995323024,0.13190548913797426
30.251,0.23991029225511265,3.343158191448869,-1.7233093398070751,0.960220499712656,0.12437708641412452
30.301,0.2336581370016643,3.295714045812499,-1.7170904854943865,0.98257141684295,0.12437708641414044
30.351,0.2302389419546119,3.2687522065172447,-1.7124658400450652,0.2638820081148428,0.06501358923516583
30.401,0.22883046627534584,3.2557887383971815,-1.7093855500810298,0.2846310900595137,0.11598212203753736
30.451,0.22473951466679445,3.2217297283636577,-1.7043857029993847,0.965546267542325,0.12383930022407458
30.501,0.21937445825958266,3.173906291245677,-1.6981937379960939,0.9875829987866327,0.12383930022408982
30.551,0.21640060139100792,3.14599047510236,-1.6937949296587889,0.2901561259669976,0.058687101903850444
30.601,0.21514306214577145,3.131687922789933,-1.6910618794812151,0.3109151483366996,0.10418822319244936
30.651,0.21162392244997263,3.0968766399318475,-1.6866710619296907,0.9708447663873639,0.10838652993843259
30.701,0.20708785363347126,3.048698866088759,-1.6812517354380745,0.9925800273311836,0.10838652993844722
30.751,0.20458928912843924,3.020620673106939,-1.6774975232787905,0.29046029454884836,0.04798564873969891
30.801,0.20358509298509805,3.0062804485105428,-1.6753078261892749,0.31109715225420953,0.09257292174393275
30.851,0.20060446274267313,2.9712415590455166,-1.6717632510340026,0.9765438406107154,0.08735172527129242
30.901,0.19676239023108388,2.9227156241487573,-1.667395664773214,0.9980200075544957,0.08735172527130658
30.951,0.19469571976081107,2.8952616430240954,-1.6643955557280459,0.2647718635075086,0.03648057175570121
31.001,0.19396505185732604,2.882190768791052,-1.6627592037577896,0.2851967007575922,0.08584494121066424
31.051,0.1914425142781568,2.8474424071671427,-1.659531945330627,0.9828512870818414,0.08394142605278963
31.101,0.18817911344680327,2.7985562081905995,-1.655334874030451,1.00411141388021,0.08394142605280339
31.151,0.1863781731620223,2.7702177600719913,-1.6524750591076989,0.2893731586949935,0.03405880816949733
31.201,0.18570760406778308,2.7559115940276593,-1.650960267606756,0.30968796288267997,0.08414189246515491
31.251,0.18354842988753775,2.7204545442558405,-1.64751803813684,0.9892365497313897,0.0928461164689934
31.301,0.180857627850419,2.6712111721836567,-1.6429305924078919,1.0102815977554462,0.09284611646900673
31.351,0.1794045228709,2.6430414215481677,-1.6401533997863211,0.2788294719534513,0.026043491514828168
31.401,0.17891850522562014,2.629254617388648,-1.6390019577557953,0.29899067036159926,0.07981415700273686
31.451,0.1771623765823303,2.59379864103562,-1.6358015256102492,0.9954906860423072,0.09186523319103998
31.501,0.17497689443344716,2.54421306369599,-1.6315635712793037,1.0163228634831112,0.09186523319105286
31.551,0.17398879509658724,2.520964320034119,-1.629265518099516,0.1100692882739775,0.006020236842076322
31.601,0.17385565896475855,2.515606422502357,-1.6286316631707545,0.12991946985519723,0.07865181725187848
31.651,0.17253423764495462,2.4833126375283805,-1.6260222025024325,1.0020349677632034,0.08100260903831932
31.701,0.17077746619956422,2.433380642894055,-1.6225196894496108,1.022687348635388,0.08100260903833187
31.751,0.17006367372577885,2.413063567515421,-1.6204895024849233,0.005977302722848609,-5.042841144661402e-17
31.801,0.17004252403165068,2.4127488754844206,-1.6198460995704052,0.02561672446008235,0.08333946868506253
31.851,0.16899587979624459,2.3822685239372805,-1.6174038448482628,1.0090078692890974,0.06897015000466254
31.901,0.16755970195869782,2.3319804481995745,-1.6143523424905446,1.0293829188350663,0.08156983003483584
31.951,0.16696842110596152,2.311355605556268,-1.6124654873863016,0.012799529457583192,-1.0062436994747891e-16
32.001,0.1669454621451988,2.3108158590647996,-1.6117943271682915,0.03243926350901459,0.08501130518408906
32.051,0.16612088926341753,2.281746306302896,-1.6096831588462532,0.9585741332795066,0.054644694537571384
32.101,0.16501544951082273,2.2339746148594637,-1.6072661521798957,0.9786920138143558,0.08413693322944066
32.151,0.16454681044164415,2.2141614758194947,-1.605583298649803,0.019832139344178518,-1.59181695602552e-16
32.201,0.16452287626650208,2.2133162393556485,-1.604874646315653,0.03946851215104545,0.08727467015492485
32.251,0.16389660853363974,2.187122292495326,-1.6031343071461999,0.8584414060301483,0.04106603300865543
32.301,0.16309779829612092,2.1443537345213066,-1.6013306016065236,0.878359276761069,0.08786895052036003
32.351,0.1627422916165452,2.1263250020332647,-1.599687260824561,0.027112437838537038,0.0024663299521992792
32.401,0.16271600969193847,2.125117385017728,-1.5987950791472303,0.04671171381459801,0.09738652150888066
32.451,0.16218367079047308,2.1005812551224077,-1.5968813432704752,0.7983584120750647,0.03722353469024266
32.501,0.16151739277247304,2.060817805528369,-1.5950539093837939,0.818079633909154,0.10955028878004186
32.551,0.1612240341429039,2.043778266392669,-1.5934742164015472,0.03418945094688085,0.0005788010372019197
32.601,0.16120178576617825,2.0422156210001714,-1.5926835287125103,0.05380665236033843,0.09196534468206793
32.651,0.16088097868033166,2.0205321323777103,-1.591312131734345,0.6984118463428417,0.021432850471329257
32.701,0.1605305383301455,1.9857607195140987,-1.590227780376323,0.7181169949778282,0.09163496935001025
32.751,0.1603552599154182,1.9704976024819234,-1.5888508487060395,0.04155814071618997,0.0018381255619998264
